,Value
1669,36.0
1670,33.0
1671,31.0
1672,26.0
1673,30.0
1674,30.0
1675,34.0
1676,29.0
1677,31.0
1678,27.0
1679,31.0
1680,32.0
1681,30.0
1682,26.0
1683,25.0
1684,30.0
1685,32.0
1686,26.0
1687,31.0
1688,40.0
1689,52.0
1690,44.0
1691,38.0
1692,53.0
1693,48.0
1694,60.0
1695,66.0
1696,65.0
1697,58.0
1698,55.0
1699,57.0
1700,59.0
1701,54.0
1702,50.0
1703,54.0
1704,65.0
1705,136.0
1706,143.0
1707,132.0
1708,66.0
1709,33.0
1710,29.0
1711,34.0
1712,43.0
1713,48.0
1714,48.0
1715,35.0
1716,32.0
1717,39.0
1718,46.0
1719,58.0
1720,65.0
1721,54.0
1722,30.0
1723,31.0
1724,34.0
1725,28.0
1726,22.0
1727,21.0
1728,16.0
1729,17.0
1730,23.0
1731,23.0
1732,26.0
1733,26.0
1734,27.0
1735,31.0
1736,32.0
1737,26.0
1738,31.0
1739,31.0
1740,31.0
1741,38.0
1742,40.0
1743,37.0
1744,35.0
1745,38.0
1746,44.0
1747,47.0
1748,40.0
1749,43.0
1750,35.0
1751,39.0
1752,37.0
1753,28.0
1754,28.0
1755,31.0
1756,30.0
1757,34.0
1758,34.0
1759,34.0
1760,33.0
1761,32.0
1762,38.0
1763,39.0
1764,41.0
1765,50.0
1766,48.0
1767,29.0
1768,33.0
1769,37.0
1770,45.0
1771,50.0
1772,54.0
1773,48.0
1774,51.0
1775,37.0
1776,36.0
1777,36.0
1778,37.0
1779,35.0
1780,45.0
1781,49.0
1782,50.0
1783,54.0
1784,55.0
1785,62.0
1786,59.0
1787,69.0
1788,68.0
1789,66.0
1790,61.0
1791,49.0
1792,43.0
1793,42.0
1794,44.0
1795,48.0
1796,50.0
1797,45.0
1798,47.0
1799,43.0
1800,37.0
1801,38.0
1802,37.0
1803,33.0
1804,28.0
1805,39.0
1806,33.0
1807,41.0
1808,41.0
1809,44.0
1810,45.0
1811,42.0
1812,46.0
1813,45.0
1814,52.0
1815,55.0
1816,63.0
1817,78.0
1818,84.0
