,Value,3exp_add,3exp_mul
18367,21.0,20.709279862037178,18.63324207153876
18368,22.0,19.254430467630044,18.904558594585247
18369,22.0,25.272649112245247,23.355425421474326
18370,24.0,18.656969512480742,20.851050803826716
18371,18.0,20.358684045113463,24.098724883456217
18372,25.0,16.62383922191856,21.16960348263099
18373,23.0,24.72069219042236,27.294207958245554
18374,25.0,25.13484215565945,24.871610969647197
18375,24.0,26.870766814596728,26.285876245469964
18376,16.0,17.64369190876249,22.72224177197232
18377,23.0,18.17781460706891,16.68807595157312
18378,24.0,26.308440254167607,24.507637166737336
18379,20.0,28.745045287814783,24.785190743271315
18380,18.0,23.063171843907327,22.111364692038272
18381,19.0,9.896281566533615,18.643994978856984
18382,21.0,16.877995895883274,18.935658017869734
18383,17.0,28.377531313334394,21.748634556642326
18384,21.0,27.123854092601697,18.34244116004005
18385,23.0,17.85189245930736,23.45320556179006
18386,19.0,26.67873869965105,26.55467949392475
18387,18.0,22.573819063258597,21.706577140087635
18388,21.0,20.283482394844754,18.853794149098228
18389,25.0,19.992548063757134,22.178285933918037
18390,17.0,27.89789577433627,26.282216403295234
18391,16.0,21.738461552680825,20.319943522731084
18392,20.0,19.8089385310811,18.18900314374649
18393,16.0,22.81263552400037,20.828264875823894
18394,20.0,13.090281650980192,17.745177757083862
18395,17.0,27.305102185797892,21.505137348331402
18396,23.0,22.986507248248977,17.480020294219123
18397,20.0,22.791866677912353,20.89377634886389
18398,16.0,17.097118516376874,18.55352004041354
18399,17.0,10.825704544419313,14.347298578661938
18400,13.0,10.263910465907385,15.34754395261435
18401,17.0,8.015149452441234,13.047743618899656
18402,18.0,13.074920290823624,15.878452720824091
18403,17.0,15.178407817753891,18.391874853279283
18404,20.0,10.746100691644099,17.674090054325664
18405,22.0,19.824348839335947,20.302197028814035
18406,16.0,20.399642328305042,20.60705678026711
18407,22.0,7.980137066250757,15.53177042563474
18408,18.0,17.86992074271825,19.939456117858256
18409,14.0,12.383483265888845,17.64865557136604
18410,14.0,10.045801903197312,13.829746113769342
18411,17.0,11.673276235264126,13.79265967067144
18412,19.0,16.313917030509725,15.55860682691497
18413,17.0,17.138193064894317,18.480150356331677
18414,16.0,17.805736205947216,18.899236436754624
18415,10.0,16.427056601353193,18.40701939814135
18416,11.0,10.508090114530336,11.983382714831532
18417,17.0,14.747486202104984,12.416116065991801
18418,13.0,18.58992929846032,17.11421669951199
18419,14.0,9.393183380441634,13.3278830985421
18420,13.0,11.348730984130604,15.45732628079134
18421,11.0,15.731463424505225,15.270849077951597
18422,16.0,18.1921401604561,13.620733635095691
18423,10.0,16.477278865972277,18.33972630950501
18424,10.0,15.817897528602245,13.000446270927744
18425,15.0,21.728396783099896,11.205041157525189
18426,19.0,24.687711370617897,15.887640058044095
18427,16.0,11.911896120446073,17.752969193061865
18428,13.0,17.300808305260233,16.49420227859228
18429,13.0,16.84024740015144,14.365672859304954
18430,14.0,14.850360828189684,13.571603389013028
18431,12.0,14.239832242197886,13.473789261952412
18432,10.0,11.22184092141568,12.16483342696736
18433,10.0,10.804018029082885,10.866450474936478
18434,10.0,7.920221953015785,9.62684607913185
18435,16.0,11.060772463366588,9.905607734985157
18436,15.0,14.912448006787262,14.829734876549885
18437,16.0,18.59089165220464,16.320545436153967
18438,16.0,23.739489070128883,17.989401026986364
18439,12.0,3.549686713105891,17.667844286142223
18440,22.0,9.229069171584785,13.11585728334554
18441,21.0,24.888067576933544,21.347212618325972
18442,17.0,20.440875876422854,21.34093470481767
18443,20.0,12.321098376956945,17.802249808995754
18444,17.0,17.882158348912277,20.47165433310339
18445,19.0,16.360525631588445,17.78489605140521
18446,22.0,21.103074105957383,22.09107994384817
18447,21.0,22.136824326473217,23.010091184938254
18448,20.0,30.598794889652517,21.5570011223199
18449,18.0,23.084683419988586,19.286008666583857
18450,18.0,18.18490240769097,18.317294379006913
18451,14.0,15.826764626778905,17.751086656049633
18452,23.0,9.527574900084808,13.935056003130196
18453,25.0,21.158631159650355,22.220145708931483
18454,20.0,23.233351143867875,24.489932422904168
18455,17.0,16.309280959196528,21.386960028692446
18456,17.0,14.312413230603116,19.569397879947136
18457,20.0,17.423853117364963,18.47123420297558
