Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC 
Shanghai,PM2.5,1/9/2017 14:00,2017,1,9,14,85,Valid
Shanghai,PM2.5,1/9/2017 15:00,2017,1,9,15,84,Valid
Shanghai,PM2.5,1/9/2017 16:00,2017,1,9,16,89,Valid
Shanghai,PM2.5,1/9/2017 17:00,2017,1,9,17,92,Valid
Shanghai,PM2.5,1/9/2017 18:00,2017,1,9,18,99,Valid
Shanghai,PM2.5,1/9/2017 19:00,2017,1,9,19,103,Valid
Shanghai,PM2.5,1/9/2017 20:00,2017,1,9,20,81,Valid
Shanghai,PM2.5,1/9/2017 21:00,2017,1,9,21,71,Valid
Shanghai,PM2.5,1/9/2017 22:00,2017,1,9,22,84,Valid
Shanghai,PM2.5,1/9/2017 23:00,2017,1,9,23,84,Valid
Shanghai,PM2.5,1/10/2017 0:00,2017,1,10,0,93,Valid
Shanghai,PM2.5,1/10/2017 1:00,2017,1,10,1,94,Valid
Shanghai,PM2.5,1/10/2017 2:00,2017,1,10,2,97,Valid
Shanghai,PM2.5,1/10/2017 3:00,2017,1,10,3,84,Valid
Shanghai,PM2.5,1/10/2017 4:00,2017,1,10,4,81,Valid
Shanghai,PM2.5,1/10/2017 5:00,2017,1,10,5,88,Valid
Shanghai,PM2.5,1/10/2017 6:00,2017,1,10,6,80,Valid
Shanghai,PM2.5,1/10/2017 7:00,2017,1,10,7,88,Valid
Shanghai,PM2.5,1/10/2017 8:00,2017,1,10,8,96,Valid
Shanghai,PM2.5,1/10/2017 9:00,2017,1,10,9,103,Valid
Shanghai,PM2.5,1/10/2017 10:00,2017,1,10,10,110,Valid
Shanghai,PM2.5,1/10/2017 11:00,2017,1,10,11,95,Valid
Shanghai,PM2.5,1/10/2017 12:00,2017,1,10,12,100,Valid
Shanghai,PM2.5,1/10/2017 13:00,2017,1,10,13,103,Valid
Shanghai,PM2.5,1/10/2017 14:00,2017,1,10,14,100,Valid
Shanghai,PM2.5,1/10/2017 15:00,2017,1,10,15,97,Valid
Shanghai,PM2.5,1/10/2017 16:00,2017,1,10,16,87,Valid
Shanghai,PM2.5,1/10/2017 17:00,2017,1,10,17,75,Valid
Shanghai,PM2.5,1/10/2017 18:00,2017,1,10,18,85,Valid
Shanghai,PM2.5,1/10/2017 19:00,2017,1,10,19,91,Valid
Shanghai,PM2.5,1/10/2017 20:00,2017,1,10,20,82,Valid
Shanghai,PM2.5,1/10/2017 21:00,2017,1,10,21,76,Valid
Shanghai,PM2.5,1/10/2017 22:00,2017,1,10,22,68,Valid
Shanghai,PM2.5,1/10/2017 23:00,2017,1,10,23,57,Valid
Shanghai,PM2.5,1/11/2017 0:00,2017,1,11,0,41,Valid
Shanghai,PM2.5,1/11/2017 1:00,2017,1,11,1,41,Valid
Shanghai,PM2.5,1/11/2017 2:00,2017,1,11,2,41,Valid
Shanghai,PM2.5,1/11/2017 3:00,2017,1,11,3,24,Valid
Shanghai,PM2.5,1/11/2017 4:00,2017,1,11,4,25,Valid
Shanghai,PM2.5,1/11/2017 5:00,2017,1,11,5,31,Valid
Shanghai,PM2.5,1/11/2017 6:00,2017,1,11,6,24,Valid
Shanghai,PM2.5,1/11/2017 7:00,2017,1,11,7,29,Valid
Shanghai,PM2.5,1/11/2017 8:00,2017,1,11,8,38,Valid
Shanghai,PM2.5,1/11/2017 9:00,2017,1,11,9,43,Valid
Shanghai,PM2.5,1/11/2017 10:00,2017,1,11,10,41,Valid
Shanghai,PM2.5,1/11/2017 11:00,2017,1,11,11,37,Valid
Shanghai,PM2.5,1/11/2017 12:00,2017,1,11,12,36,Valid
Shanghai,PM2.5,1/11/2017 13:00,2017,1,11,13,31,Valid
Shanghai,PM2.5,1/11/2017 14:00,2017,1,11,14,27,Valid
Shanghai,PM2.5,1/11/2017 15:00,2017,1,11,15,27,Valid
Shanghai,PM2.5,1/11/2017 16:00,2017,1,11,16,33,Valid
Shanghai,PM2.5,1/11/2017 17:00,2017,1,11,17,37,Valid
Shanghai,PM2.5,1/11/2017 18:00,2017,1,11,18,38,Valid
Shanghai,PM2.5,1/11/2017 19:00,2017,1,11,19,43,Valid
Shanghai,PM2.5,1/11/2017 20:00,2017,1,11,20,54,Valid
Shanghai,PM2.5,1/11/2017 21:00,2017,1,11,21,47,Valid
Shanghai,PM2.5,1/11/2017 22:00,2017,1,11,22,39,Valid
Shanghai,PM2.5,1/11/2017 23:00,2017,1,11,23,35,Valid
Shanghai,PM2.5,1/12/2017 0:00,2017,1,12,0,37,Valid
Shanghai,PM2.5,1/12/2017 1:00,2017,1,12,1,39,Valid
Shanghai,PM2.5,1/12/2017 2:00,2017,1,12,2,43,Valid
Shanghai,PM2.5,1/12/2017 3:00,2017,1,12,3,51,Valid
Shanghai,PM2.5,1/12/2017 4:00,2017,1,12,4,46,Valid
Shanghai,PM2.5,1/12/2017 5:00,2017,1,12,5,50,Valid
Shanghai,PM2.5,1/12/2017 6:00,2017,1,12,6,47,Valid
Shanghai,PM2.5,1/12/2017 7:00,2017,1,12,7,54,Valid
Shanghai,PM2.5,1/12/2017 8:00,2017,1,12,8,51,Valid
Shanghai,PM2.5,1/12/2017 9:00,2017,1,12,9,56,Valid
Shanghai,PM2.5,1/12/2017 10:00,2017,1,12,10,56,Valid
Shanghai,PM2.5,1/12/2017 11:00,2017,1,12,11,54,Valid
Shanghai,PM2.5,1/12/2017 12:00,2017,1,12,12,72,Valid
Shanghai,PM2.5,1/12/2017 13:00,2017,1,12,13,76,Valid
Shanghai,PM2.5,1/12/2017 14:00,2017,1,12,14,89,Valid
Shanghai,PM2.5,1/12/2017 15:00,2017,1,12,15,75,Valid
Shanghai,PM2.5,1/12/2017 16:00,2017,1,12,16,81,Valid
Shanghai,PM2.5,1/12/2017 17:00,2017,1,12,17,68,Valid
Shanghai,PM2.5,1/12/2017 18:00,2017,1,12,18,71,Valid
Shanghai,PM2.5,1/12/2017 19:00,2017,1,12,19,70,Valid
Shanghai,PM2.5,1/12/2017 20:00,2017,1,12,20,68,Valid
Shanghai,PM2.5,1/12/2017 21:00,2017,1,12,21,82,Valid
Shanghai,PM2.5,1/12/2017 22:00,2017,1,12,22,77,Valid
Shanghai,PM2.5,1/12/2017 23:00,2017,1,12,23,83,Valid
Shanghai,PM2.5,1/13/2017 0:00,2017,1,13,0,88,Valid
Shanghai,PM2.5,1/13/2017 1:00,2017,1,13,1,94,Valid
Shanghai,PM2.5,1/13/2017 2:00,2017,1,13,2,89,Valid
Shanghai,PM2.5,1/13/2017 3:00,2017,1,13,3,97,Valid
Shanghai,PM2.5,1/13/2017 4:00,2017,1,13,4,104,Valid
Shanghai,PM2.5,1/13/2017 5:00,2017,1,13,5,101,Valid
Shanghai,PM2.5,1/13/2017 6:00,2017,1,13,6,103,Valid
Shanghai,PM2.5,1/13/2017 7:00,2017,1,13,7,109,Valid
Shanghai,PM2.5,1/13/2017 8:00,2017,1,13,8,112,Valid
Shanghai,PM2.5,1/13/2017 9:00,2017,1,13,9,134,Valid
Shanghai,PM2.5,1/13/2017 10:00,2017,1,13,10,139,Valid
Shanghai,PM2.5,1/13/2017 11:00,2017,1,13,11,-999,Missing
Shanghai,PM2.5,1/13/2017 12:00,2017,1,13,12,-999,Missing
Shanghai,PM2.5,1/13/2017 13:00,2017,1,13,13,102,Valid
Shanghai,PM2.5,1/13/2017 14:00,2017,1,13,14,116,Valid
Shanghai,PM2.5,1/13/2017 15:00,2017,1,13,15,86,Valid
Shanghai,PM2.5,1/13/2017 16:00,2017,1,13,16,66,Valid
Shanghai,PM2.5,1/13/2017 17:00,2017,1,13,17,59,Valid
Shanghai,PM2.5,1/13/2017 18:00,2017,1,13,18,94,Valid
Shanghai,PM2.5,1/13/2017 19:00,2017,1,13,19,111,Valid
Shanghai,PM2.5,1/13/2017 20:00,2017,1,13,20,146,Valid
Shanghai,PM2.5,1/13/2017 21:00,2017,1,13,21,138,Valid
Shanghai,PM2.5,1/13/2017 22:00,2017,1,13,22,112,Valid
Shanghai,PM2.5,1/13/2017 23:00,2017,1,13,23,81,Valid
Shanghai,PM2.5,1/14/2017 0:00,2017,1,14,0,58,Valid
Shanghai,PM2.5,1/14/2017 1:00,2017,1,14,1,56,Valid
Shanghai,PM2.5,1/14/2017 2:00,2017,1,14,2,52,Valid
Shanghai,PM2.5,1/14/2017 3:00,2017,1,14,3,33,Valid
Shanghai,PM2.5,1/14/2017 4:00,2017,1,14,4,27,Valid
Shanghai,PM2.5,1/14/2017 5:00,2017,1,14,5,28,Valid
Shanghai,PM2.5,1/14/2017 6:00,2017,1,14,6,30,Valid
Shanghai,PM2.5,1/14/2017 7:00,2017,1,14,7,32,Valid
Shanghai,PM2.5,1/14/2017 8:00,2017,1,14,8,26,Valid
Shanghai,PM2.5,1/14/2017 9:00,2017,1,14,9,20,Valid
Shanghai,PM2.5,1/14/2017 10:00,2017,1,14,10,20,Valid
Shanghai,PM2.5,1/14/2017 11:00,2017,1,14,11,24,Valid
Shanghai,PM2.5,1/14/2017 12:00,2017,1,14,12,26,Valid
Shanghai,PM2.5,1/14/2017 13:00,2017,1,14,13,20,Valid
Shanghai,PM2.5,1/14/2017 14:00,2017,1,14,14,18,Valid
Shanghai,PM2.5,1/14/2017 15:00,2017,1,14,15,17,Valid
Shanghai,PM2.5,1/14/2017 16:00,2017,1,14,16,16,Valid
Shanghai,PM2.5,1/14/2017 17:00,2017,1,14,17,19,Valid
Shanghai,PM2.5,1/14/2017 18:00,2017,1,14,18,20,Valid
Shanghai,PM2.5,1/14/2017 19:00,2017,1,14,19,20,Valid
Shanghai,PM2.5,1/14/2017 20:00,2017,1,14,20,29,Valid
Shanghai,PM2.5,1/14/2017 21:00,2017,1,14,21,27,Valid
Shanghai,PM2.5,1/14/2017 22:00,2017,1,14,22,30,Valid
Shanghai,PM2.5,1/14/2017 23:00,2017,1,14,23,30,Valid
Shanghai,PM2.5,1/15/2017 0:00,2017,1,15,0,23,Valid
Shanghai,PM2.5,1/15/2017 1:00,2017,1,15,1,21,Valid
Shanghai,PM2.5,1/15/2017 2:00,2017,1,15,2,17,Valid
Shanghai,PM2.5,1/15/2017 3:00,2017,1,15,3,10,Valid
Shanghai,PM2.5,1/15/2017 4:00,2017,1,15,4,14,Valid
Shanghai,PM2.5,1/15/2017 5:00,2017,1,15,5,10,Valid
Shanghai,PM2.5,1/15/2017 6:00,2017,1,15,6,19,Valid
Shanghai,PM2.5,1/15/2017 7:00,2017,1,15,7,11,Valid
Shanghai,PM2.5,1/15/2017 8:00,2017,1,15,8,19,Valid
