,Value
940,52.0
941,52.0
942,53.1
943,52.0
944,51.1
945,51.1
946,51.1
947,50.0
948,50.0
949,48.9
950,48.9
951,46.9
952,46.0
953,44.1
954,44.1
955,41.0
956,39.9
957,37.0
958,35.1
959,33.8
960,34.0
961,34.0
962,34.0
963,33.1
964,33.1
965,33.1
966,32.0
967,32.0
968,32.0
969,30.9
970,30.9
971,30.9
972,30.9
973,30.9
974,30.9
975,30.9
976,32.0
977,30.9
978,32.0
979,32.0
980,30.9
981,32.0
982,32.0
983,32.0
984,32.0
985,33.1
986,33.1
987,33.1
988,37.0
989,39.0
990,39.0
991,37.9
992,37.0
993,36.0
994,35.1
995,34.0
996,33.1
997,33.1
998,32.0
999,32.0
1000,30.9
1001,30.9
1002,30.9
1003,30.9
1004,30.9
1005,30.9
1006,30.9
1007,33.1
1008,34.0
1009,37.0
1010,37.9
1011,39.0
1012,37.9
1013,39.0
1014,39.9
1015,37.9
1016,39.0
1017,39.0
1018,39.0
1019,37.9
1020,37.9
1021,37.0
1022,37.0
1023,36.0
1024,36.0
1025,36.0
1026,35.1
1027,35.1
1028,34.0
1029,35.1
1030,35.1
1031,37.0
1032,39.0
1033,41.0
1034,42.1
1035,45.0
1036,46.9
1037,46.0
1038,45.0
1039,43.0
1040,42.1
1041,41.0
1042,39.9
1043,39.0
1044,39.0
1045,39.9
1046,39.0
1047,39.0
1048,37.9
1049,37.9
1050,37.9
1051,37.9
1052,37.9
1053,37.9
1054,37.9
1055,37.9
1056,37.9
1057,37.9
1058,37.0
1059,37.0
1060,35.6
1061,33.8
1062,34.0
1063,32.0
1064,32.0
1065,32.0
1066,32.0
1067,32.0
1068,32.0
1069,32.0
1070,30.9
1071,30.9
1072,30.9
1073,32.0
1074,32.0
1075,33.1
1076,33.1
1077,32.0
1078,32.0
1079,32.0
1080,32.0
1081,30.9
1082,30.0
1083,28.9
1084,28.0
1085,28.4
1086,28.9
1087,28.0
1088,28.0
1089,28.0
1090,28.0
1091,28.0
1092,28.0
1093,28.0
1094,28.0
1095,27.0
1096,27.0
1097,28.0
1098,28.0
1099,28.0
1100,28.9
1101,28.9
1102,30.9
1103,30.9
1104,33.8
1105,33.1
1106,34.0
1107,34.0
1108,35.1
1109,36.0
1110,36.0
1111,35.1
1112,33.1
1113,34.0
1114,34.0
1115,35.1
1116,34.0
1117,34.0
1118,34.0
1119,34.0
1120,33.1
1121,33.1
1122,33.1
1123,33.1
1124,33.1
1125,33.1
1126,33.8
1127,33.1
1128,33.1
1129,33.8
1130,33.1
1131,33.1
1132,33.1
1133,33.1
1134,33.1
1135,33.1
1136,33.1
1137,33.1
1138,33.1
1139,33.1
1140,33.8
1141,33.1
1142,33.1
1143,33.1
1144,34.0
1145,34.0
1146,34.0
1147,35.1
1148,35.1
1149,35.1
1150,37.4
1151,37.0
1152,37.9
1153,37.9
1154,37.9
1155,37.9
1156,37.0
1157,36.0
1158,34.0
1159,33.1
1160,32.0
1161,32.0
1162,30.9
1163,30.9
1164,30.0
1165,28.0
1166,27.0
1167,26.1
1168,26.1
1169,26.1
1170,26.1
1171,25.0
1172,24.1
1173,23.0
1174,23.0
1175,23.0
1176,24.1
1177,24.1
1178,26.1
1179,24.1
1180,25.0
1181,24.1
1182,24.1
1183,23.0
1184,23.0
1185,21.9
1186,21.0
1187,19.9
1188,19.9
1189,19.0
1190,18.0
1191,18.0
1192,18.0
1193,17.1
1194,17.1
1195,16.0
1196,16.0
1197,16.0
1198,16.0
1199,17.1
1200,19.0
1201,21.9
1202,25.0
1203,25.0
1204,25.0
1205,26.1
1206,26.1
1207,25.0
1208,24.1
1209,24.1
1210,23.0
1211,23.0
1212,23.0
1213,21.9
1214,23.0
1215,21.9
1216,21.0
1217,21.0
1218,21.0
1219,21.0
1220,21.0
1221,21.0
1222,21.0
1223,21.0
1224,21.0
1225,19.9
1226,19.9
1227,18.0
1228,18.0
1229,17.1
1230,15.1
1231,12.0
1232,10.0
1233,9.0
1234,7.0
1235,6.1
1236,6.1
1237,6.1
1238,6.1
1239,6.1
1240,5.0
1241,5.0
1242,3.0
1243,3.0
1244,1.0
1245,1.225
1246,1.45
1247,1.6749999999999998
1248,1.9
1249,5.0
1250,9.0
1251,10.9
1252,12.0
1253,14.0
1254,15.1
1255,15.1
1256,15.1
1257,15.1
1258,15.1
1259,14.0
1260,14.0
1261,14.0
1262,14.0
1263,14.0
1264,14.0
1265,14.0
1266,14.0
1267,15.1
1268,16.0
1269,17.1
1270,18.0
1271,19.0
1272,19.9
1273,21.0
1274,21.9
1275,23.0
1276,23.0
1277,23.0
1278,24.1
1279,24.1
1280,25.0
1281,25.0
1282,26.1
1283,26.1
1284,27.0
1285,27.0
1286,28.0
1287,28.4
1288,28.9
1289,30.0
1290,30.0
1291,30.0
1292,30.9
1293,32.0
1294,33.8
1295,33.1
1296,33.1
1297,33.1
1298,33.1
1299,34.0
1300,34.0
1301,34.0
1302,33.1
1303,33.1
1304,33.1
1305,34.0
1306,34.0
1307,34.0
1308,35.1
1309,35.1
1310,35.1
1311,37.9
1312,37.9
1313,39.0
1314,42.8
1315,44.1
1316,46.9
1317,48.0
1318,48.0
1319,48.0
1320,46.9
1321,48.0
1322,48.0
1323,48.9
1324,48.9
1325,50.0
1326,51.1
1327,52.0
1328,52.0
1329,52.0
1330,53.1
1331,52.0
1332,51.8
1333,51.1
1334,52.0
1335,53.1
1336,53.1
1337,53.1
1338,53.1
1339,53.1
1340,53.1
1341,52.0
1342,53.1
1343,52.0
1344,51.8
1345,52.0
1346,52.0
1347,53.1
1348,53.1
1349,52.0
1350,52.0
1351,52.0
1352,52.0
1353,52.0
1354,53.1
1355,53.1
1356,53.1
1357,53.6
1358,53.1
1359,51.1
1360,48.0
1361,46.9
1362,46.0
1363,44.6
1364,45.0
1365,43.0
1366,42.1
1367,39.0
1368,37.9
1369,37.9
1370,37.0
1371,37.0
1372,37.4
1373,37.0
1374,37.0
1375,37.0
1376,37.0
1377,37.0
1378,37.0
1379,39.0
1380,39.0
1381,39.0
